Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,79.400002,80.000000,79.269997,79.930000,75.674866,35914500
2022-04-26,79.900002,79.900002,79.449997,79.459999,75.229889,31171600
2022-04-27,79.470001,79.669998,78.989998,79.070000,74.860657,37598600
2022-04-28,79.239998,79.629997,78.940002,79.510002,75.277229,30808800
2022-04-29,79.139999,79.250000,78.480003,78.529999,74.349380,35697100
2022-05-02,78.160004,78.300003,77.830002,78.230003,74.354156,38674400
2022-05-03,78.400002,78.760002,78.349998,78.639999,74.743828,42665700
2022-05-04,78.650002,79.650002,78.080002,79.440002,75.504196,55154900
2022-05-05,78.970001,79.019997,77.809998,78.029999,74.164032,53807900
2022-05-06,77.629997,78.000000,77.410004,77.589996,73.745850,39256900
2022-05-09,77.129997,77.309998,76.720001,76.769997,72.966476,38442700
2022-05-10,77.389999,77.529999,76.839996,77.209999,73.384682,48419700
2022-05-11,77.000000,77.489998,76.739998,76.750000,72.947487,42473500
2022-05-12,76.660004,76.980003,76.400002,76.720001,72.918961,49069700
2022-05-13,76.980003,77.059998,76.430000,76.809998,73.004501,49084400
2022-05-16,76.839996,76.959999,76.570000,76.699997,72.899948,33300100
2022-05-17,76.860001,76.870003,76.440002,76.629997,72.833420,41666500
2022-05-18,76.209999,76.250000,75.910004,76.000000,72.234619,47647800
2022-05-19,75.949997,76.669998,75.870003,76.510002,72.719376,53929100
2022-05-20,76.779999,76.800003,76.230003,76.459999,72.671837,56691000
2022-05-23,76.639999,76.860001,76.580002,76.760002,72.956985,29917100
2022-05-24,76.580002,77.260002,76.550003,77.220001,73.394188,42246500
2022-05-25,77.309998,78.440002,77.269997,78.389999,74.506233,56661500
2022-05-26,78.680000,79.519997,78.470001,79.480003,75.542229,64773400
2022-05-27,79.800003,80.190002,79.610001,80.190002,76.217041,52813100
2022-05-31,79.739998,79.860001,79.320000,79.500000,75.561211,68424700
2022-06-01,79.230003,79.449997,78.750000,78.900002,75.281677,87646100
2022-06-02,78.919998,79.239998,78.690002,79.230003,75.596527,34752500
2022-06-03,78.870003,78.870003,78.519997,78.639999,75.033577,36008000
2022-06-06,78.779999,78.800003,77.959999,78.050003,74.470634,35756100
2022-06-07,77.790001,78.320000,77.730003,78.230003,74.642395,31499900
2022-06-08,78.040001,78.070000,77.459999,77.559998,74.003113,25361600
2022-06-09,77.260002,77.510002,76.790001,76.940002,73.411537,49468700
2022-06-10,76.199997,76.220001,75.279999,75.629997,72.161629,59907000
2022-06-13,74.250000,74.309998,72.889999,73.099998,69.747635,122714600
2022-06-14,73.449997,74.230003,73.050003,73.580002,70.205635,62818600
2022-06-15,74.199997,75.389999,74.040001,75.010002,71.570061,70628200
2022-06-16,73.900002,74.150002,73.220001,73.820000,70.434639,61583400
2022-06-17,73.989998,74.570000,73.809998,74.050003,70.654091,49281000
2022-06-21,74.500000,74.669998,73.930000,74.000000,70.606369,45924600
2022-06-22,73.870003,74.250000,73.809998,73.980003,70.587303,38204800
2022-06-23,74.190002,74.580002,74.080002,74.510002,71.092972,30961800
2022-06-24,74.750000,75.360001,74.589996,75.040001,71.598686,38198600
2022-06-27,75.099998,75.099998,74.580002,74.580002,71.159775,25658200
2022-06-28,74.690002,74.790001,73.750000,73.760002,70.377388,39303800
2022-06-29,73.720001,73.790001,73.430000,73.650002,70.272415,36806800
2022-06-30,73.330002,73.830002,73.059998,73.610001,70.234261,45139900
2022-07-01,73.500000,74.230003,73.449997,73.980003,70.904205,38849300
2022-07-05,73.510002,73.980003,73.029999,73.910004,70.837120,38316200
2022-07-06,73.790001,74.000000,73.519997,73.629997,70.568748,44706000
2022-07-07,74.089996,74.879997,74.029999,74.830002,71.718857,44430400
2022-07-08,74.559998,74.959999,74.360001,74.889999,71.776352,31230300
2022-07-11,74.800003,74.919998,74.449997,74.470001,71.373817,28213700
2022-07-12,74.559998,74.900002,74.500000,74.769997,71.661346,24036500
2022-07-13,74.000000,74.919998,73.919998,74.690002,71.584686,46874900
2022-07-14,74.080002,74.629997,73.610001,74.550003,71.450508,53953100
2022-07-15,74.769997,75.500000,74.760002,75.500000,72.361008,48360800
2022-07-18,75.690002,75.720001,74.690002,74.769997,71.661346,33302800
2022-07-19,75.040001,75.940002,75.040001,75.760002,72.610191,31028200
2022-07-20,76.059998,76.620003,75.879997,76.089996,72.926468,82881900
2022-07-21,76.019997,77.059998,75.930000,76.989998,73.789055,52282000
2022-07-22,77.110001,77.540001,76.650002,76.889999,73.693214,51055800
